

14:33:39    IFACE    Ipkts/s      Ibytes/s     Opkts/s      Obytes/s
14:41:59    stf0           0             0           0             0
14:41:59    en0           15          5789          11          2885
14:41:59    en1            0             0           0             0
14:41:59    en2            0             0           0             0
14:41:59    p2p0           0             0           0             0
14:41:59    awdl0          0             0           0             0
14:41:59    bridge0        0             0           0             0

14:42:09    lo0            0             0           0             0
14:42:09    gif0           0             0           0             0
14:42:09    stf0           0             0           0             0
14:42:09    en0           13          3350           6          1412
14:42:09    en1            0             0           0             0
14:42:09    en2            0             0           0             0
14:42:09    p2p0           0             0           0             0
14:42:09    awdl0          0             0           0             0
14:42:09    bridge0        0             0           0             0

14:42:19    lo0            0             0           0             0
14:42:19    gif0           0             0           0             0
14:42:19    stf0           0             0           0             0
14:42:19    en0           18          5004           2           532
14:42:19    en1            0             0           0             0
14:42:19    en2            0             0           0             0
14:42:19    p2p0           0             0           0             0
14:42:19    awdl0          0             0           0             0
14:42:19    bridge0        0             0           0             0

14:42:29    lo0            0             0           0             0
14:42:29    gif0           0             0           0             0
14:42:29    stf0           0             0           0             0
14:42:29    en0           15          3171           4           706
14:42:29    en1            0             0           0             0
14:42:29    en2            0             0           0             0
14:42:29    p2p0           0             0           0             0
14:42:29    awdl0          0             0           0             0
14:42:29    bridge0        0             0           0             0

14:42:39    lo0            0             0           0             0
14:42:39    gif0           0             0           0             0
14:42:39    stf0           0             0           0             0
14:42:39    en0           12          4272           5          1133
14:42:39    en1            0             0           0             0
14:42:39    en2            0             0           0             0
14:42:39    p2p0           0             0           0             0
14:42:39    awdl0          0             0           0             0
14:42:39    bridge0        0             0           0             0

14:42:49    lo0            0             0           0             0
14:42:49    gif0           0             0           0             0
14:42:49    stf0           0             0           0             0
14:42:49    en0           12          5211           3           574
14:42:49    en1            0             0           0             0
14:42:49    en2            0             0           0             0
14:42:49    p2p0           0             0           0             0
14:42:49    awdl0          0             0           0             0
14:42:49    bridge0        0             0           0             0

14:42:59    lo0            0             0           0             0
14:42:59    gif0           0             0           0             0
14:42:59    stf0           0             0           0             0
14:42:59    en0           36         13998           4           710
14:42:59    en1            0             0           0             0
14:42:59    en2            0             0           0             0
14:42:59    p2p0           0             0           0             0
14:42:59    awdl0          0             0           0             0
14:42:59    bridge0        0             0           0             0

14:43:09    lo0            0             0           0             0
14:43:09    gif0           0             0           0             0
14:43:09    stf0           0             0           0             0
14:43:09    en0           18          7454           5          1166
14:43:09    en1            0             0           0             0
14:43:09    en2            0             0           0             0
14:43:09    p2p0           0             0           0             0
14:43:09    awdl0          0             0           0             0
14:43:09    bridge0        0             0           0             0

14:43:19    lo0            0             0           0             0
14:43:19    gif0           0             0           0             0
14:43:19    stf0           0             0           0             0
14:43:19    en0           14          4064           2           544
14:43:19    en1            0             0           0             0
14:43:19    en2            0             0           0             0
14:43:19    p2p0           0             0           0             0
14:43:19    awdl0          0             0           0             0
14:43:19    bridge0        0             0           0             0

14:43:29    lo0            0             0           0             0
14:43:29    gif0           0             0           0             0
14:43:29    stf0           0             0           0             0
14:43:29    en0            9          3036           5           759
14:43:29    en1            0             0           0             0
14:43:29    en2            0             0           0             0
14:43:29    p2p0           0             0           0             0
14:43:29    awdl0          0             0           0             0
14:43:29    bridge0        0             0           0             0

14:43:39    lo0            0             0           0             0
14:43:39    gif0           0             0           0             0
14:43:39    stf0           0             0           0             0
14:43:39    en0           17          4884           6          1315
14:43:39    en1            0             0           0             0
14:43:39    en2            0             0           0             0
14:43:39    p2p0           0             0           0             0
14:43:39    awdl0          0             0           0             0
14:43:39    bridge0        0             0           0             0
Average:   lo0            0             0           0             0
Average:   gif0           0             0           0             0
Average:   stf0           0             0           0             0
Average:   en0           43         14449          11          2102
Average:   en1            0             0           0             0
Average:   en2            0             0           0             0
Average:   p2p0           0             0           0             0
Average:   awdl0          0             0           0             0
Average:   bridge0        0             0           0             0
